"","region_id","region_name","flower_png"
"64",66,"Senegal","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Senegal.png"
"65",67,"Libya","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Libya.png"
"66",68,"Malta","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Malta.png"
"67",69,"Latvia","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Latvia.png"
"68",70,"Estonia","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Estonia.png"
"69",71,"Bulgaria","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Bulgaria.png"
"70",72,"Romania","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Romania.png"
"71",73,"Russia","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Russia.png"
"72",74,"Georgia","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Georgia.png"
"73",75,"Ukraine","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Ukraine.png"
"74",76,"Turkey","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Turkey.png"
"75",77,"Syria","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Syria.png"
"76",78,"Lebanon","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Lebanon.png"
"77",79,"Israel","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Israel.png"
"78",80,"Greece","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Greece.png"
"79",81,"Cyprus","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Cyprus.png"
"80",82,"Albania","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Albania.png"
"81",84,"Algeria","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Algeria.png"
"82",85,"Ascension","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Ascension.png"
"83",86,"Saint Helena","C:/test/OHITool/ohi-global/eez/reports/figures/flower_SaintHelena.png"
"84",88,"Tristan da Cunha","C:/test/OHITool/ohi-global/eez/reports/figures/flower_TristandaCunha.png"
